identity,subgroup_size,subgroup_auc,bpsn_auc,bnsp_auc
bisexual,11,0.6,0.7907065079767029,0.841637706342311
muslim,569,0.7414661629217207,0.8738038659053938,0.7860435630315223
transgender,77,0.7529411764705882,0.8090685651326384,0.8591918959364567
black,443,0.7590193089430894,0.8442775019597596,0.8274803148206421
white,673,0.7644988738738738,0.8273781006617622,0.8469239299194626
homosexual_gay_or_lesbian,300,0.7856564675408775,0.7917719449842553,0.8949638887823144
heterosexual,43,0.7936507936507936,0.8374827401583679,0.8622872541897186
latino,51,0.798941798941799,0.8302763378886191,0.8558873819045962
buddhist,21,0.8157894736842105,0.8684343838319202,0.8289956768264866
jewish,199,0.8190779496511981,0.8635446479212981,0.8528424814241824
psychiatric_or_mental_illness,145,0.8302898550724638,0.8671827861579414,0.8538050143318457
male,1277,0.8382961086806354,0.8225175597527984,0.8969092289996092
christian,1107,0.8390400936494,0.9017551276879635,0.8229173876232699
female,1505,0.8393723327129906,0.845974755400275,0.8840327481969812
atheist,46,0.8519736842105263,0.8414643915725387,0.8907540424237155
hindu,22,0.8611111111111112,0.9026017908430478,0.8470140337156761
asian,135,0.9297520661157025,0.8979645400792851,0.910181242476742
other_race_or_ethnicity,11,1.0,0.8317801975183591,0.9978279756733275
other_religion,7,,0.9234827382459694,0.8554860568152203
